,"aluminium, primary, ingot","aluminium, primary, liquid","aluminium alloy, AlMg3","aluminium removed by milling, dressing","electricity, medium voltage, aluminium industry",hydraulic fracturing fluid,lubricating oil,"natural gas, low pressure",tap water,scrap aluminium,"aluminium oxide, metallurgical","nitrogen, liquid","sodium chloride, powder","wastewater, average","aluminium removed by drilling, conventional","aluminium removed by milling, dressing.1","aluminium removed by turning, average, conventional","aluminium removed by turning, primarily roughing, conventional","steel, chromium steel 18/8, hot rolled",waste aluminium,"aluminium removed by drilling, computer numerical controlled","aluminium removed by milling, large parts","aluminium removed by milling, small parts","aluminium removed by turning, primarily roughing, computer numerical controlled","electricity, high voltage, aluminium industry","electricity, high voltage, for internal use in coal mining","electricity, low voltage","electricity, medium voltage","electricity, medium voltage, label-certified","natural gas, high pressure","natural gas, medium pressure, vehicle grade","natural gas, liquefied","wire drawing, steel",nylon 6-6,glass fibre,"wire drawing, steel.1","impact extrusion of steel, cold, 3 strokes","impact extrusion of aluminium, 3 strokes",injection moulding,"steel, unalloyed",chromium steel pipe,scrap steel,"steel, low-alloyed, hot rolled","steel, low-alloyed","steel, chromium steel 18/8","chromium steel removed by drilling, conventional","steel removed by turning, primarily dressing, computer numerical controlled","chromium steel removed by milling, average"
521,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CY",,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KE",,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-SK",,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_ET",,,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CZ",,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_UZ",,,,,,,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-JX",,,,,,,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_AU",,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-UP",,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_US-NPCC",,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_TG",,,,,,,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_IN",,,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_LU",,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-SA",,,,,,,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_TH",,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,,,,,,,"natural gas, burned in micro gas turbine, 100kWe | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_NG",,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_VN",,,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_ER",,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, laminated, integrated | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-NU",,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,"sawing and planing, paraná pine, kiln dried | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-GS",,,,,,,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp facade installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CA-NF",,,,,,,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_DK",,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp flat-roof installation, multi-Si | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_US-RFC",,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,"biomethane, low pressure burned in solid oxide fuel cell 125kWe, future | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_MX",,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-WECC",,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_PE",,,,,,,,,,,,,,,,,,,,,
553,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_BH",,,,,,,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_JP",,,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_BR-Southern grid",,,,,,,,,,,,,,,,,,,,,
556,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-WECC",,,,,,,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-HN",,,,,,,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-BC",,,,,,,,,,,,,,,,,,,,,
559,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AL",,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_UCTE",,,,,,,,,,,,,,,,,,,,,
561,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_FR",,,,,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_RO",,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_NZ",,,,,,,,,,,,,,,,,,,,,
564,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_BA",,,,,,,,,,,,,,,,,,,,,
565,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-ON",,,,,,,,,,,,,,,,,,,,,
566,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-NB",,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_VE",,,,,,,,,,,,,,,,,,,,,
568,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CY",,,,,,,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_US-NPCC",,,,,,,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_DZ",,,,,,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_JM",,,,,,,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_TW",,,,,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-SX",,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SS",,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-GD",,,,,,,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CI",,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_SS",,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CA-PE",,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_OM",,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_ES",,,,,,,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BW",,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_NO",,,,,,,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_NP",,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_IR",,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-HICC",,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KZ",,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-NT",,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MK",,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_RS",,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_MT",,,,,,,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CA-MB",,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CZ",,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_JP",,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, 50kW electrical, lean burn | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_BE",,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-GX",,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-TRE",,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_ME",,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-SH",,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_AR",,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-FRCC",,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HN",,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_LV",,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CO",,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_US-FRCC",,,,,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, laminated, integrated | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_SE",,,,,,,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_BD",,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_DE",,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_US-MRO",,,,,,,,,,,,,,,,,,,,,
612,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_US-HICC",,,,,,,,,,,,,,,,,,,,,
613,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-TJ",,,,,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_TR",,,,,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_HR",,,,,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_US-FRCC",,,,,,,,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_EC",,,,,,,,,,,,,,,,,,,,,
618,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CN-CSG",,,,,,,,,,,,,,,,,,,,,
619,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_PK",,,,,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_IQ",,,,,,,,,,,,,,,,,,,,,
621,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_TH",,,,,,,,,,,,,,,,,,,,,
622,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AZ",,,,,,,,,,,,,,,,,,,,,
623,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, mini-plant 2KW electrical | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-SC",,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_BR",,,,,,,,,,,,,,,,,,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-SERC",,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_US-ASCC",,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CG",,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_HT",,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MD",,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_HU",,,,,,,,,,,,,,,,,,,,,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_KR",,,,,,,,,,,,,,,,,,,,,
633,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, 160kW electrical, lambda=1 | electricity, low voltage | Cutoff, S_Europe without Switzerland",,,,,,,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-NM",,,,,,,,,,,,,,,,,,,,,
636,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-XZ",,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-NU",,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_ZA",,,,,,,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_RO",,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_SE",,,,,,,,,,,,,,,,,,,,,
641,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HE",,,,,,,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-SK",,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HA",,,,,,,,,,,,,,,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_JO",,,,,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_SK",,,,,,,,,,,,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_MZ",,,,,,,,,,,,,,,,,,,,,
648,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-YK",,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_SE",,,,,,,,,,,,,,,,,,,,,
